sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Moreira Barros, Iván",2016-09-12,30,ex congreso nacional,situación de la industria en la región de Los Lagos,"Sandoval Precht, Felipe",Asocacion de la Industria del Salmón de Chile AG
"Angelbeck Silva, Robert Patrick",2016-09-12,30,Oficina Senado Ex-Congreso,"Proyecto de Ley que modifica la legislación sobre Asociaciones de Funcionarios de la Administración del Estado, con el objeto de hacerla aplicable a los fiscales del Ministerio Público (Boletín N° 10.511-07)","Fuentes Mardones, Jose",
"Araya Guerrero, Pedro",2016-09-12,30,Oficina parlamentaria Senado,Por tema agenda fue recibido por el Asesor Robert Angelbeck,"Fuentes Mardones, Jose",
"Guillier Álvarez, Alejandro",2016-09-12,30,Ex Congreso Nacional,Compartir informe final de los flujos migratorios entre Chile y Colombia y abrir un punto de comunicación.,"Girón, Norberto; Esponda, Jaime; Sagastume, Jorge; Martinez, Felix",Organización Internacional Para las Migraciones
"Angelbeck Silva, Robert Patrick",2016-09-12,60,Oficina Senado Santiago,"Observaciones al Proyecto de Ley que Modifica la Ley N° 19.496, sobre Protección de los derechos de los consumidores (Boletín N° 9.369-03)","Mira, Mario; Moreno Guzmán, Juan Pablo; GALILEA PAGE, VICTOR",Asociación Gremial
"Araya Guerrero, Pedro",2016-09-12,30,Oficina parlamentaria Senado,Por problema de agenda fueron recibidos por el Asesor Robert Angelbeck,"Moreno Guzmán, Juan Pablo; GALILEA PAGE, VICTOR; Mira, Mario",Asociación Gremial
"Guillier Álvarez, Alejandro",2016-09-12,30,Ex Congreso Nacional,Situacion de indefension laboral de funcionarios del ministerio público,"RUIZ TAPIA, PAULINA",Federacion Nacional Funcioanrios Ministerio Pùblico
"Pizarro Soto, Jorge",2016-09-12,30,Morandé 441,los solicitantes suspendieron reunión nuevamente por problemas de agenda de ellos. Deberán solicitarla nuevamente,"Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Meacham, Carl",Uber B.V.
"Montes Cisternas, Carlos",2016-09-08,30,Ex Congreso,Se reciben inquietudes en torno a dificultades en implementación de la ley.,"Celedón Cariola, Carmen; González González, María Jacqueline",Corporación Nacional de Colegios Particulares
"Moreira Barros, Iván",2016-09-08,40,ciudad de osorno,situación de los servicios de salud en la comuna de Osorno,"Saphier Herrera, Alex Andres; Muñoz Martinez, Francisco; Soto Troncoso, Silvia",Alex Saphier Herrera
"Moreira Barros, Iván",2016-09-08,30,osorno,incentivo al retiro de los funcionarios del poder judicial,"MUÑOZ VARGAS, ANA ALEJANDRA; AGUILAR MORALES, MARISOL DEL CARMEN; ANGULO TORREZ, VANIA CAROLA",ASOCIACION EMPLEADOS PODER JUDICIAL
"Muñoz D`Albora, Adriana",2016-09-06,30,Senado,"Dar a conocer los servicios que entrega Uber a nivel internacional y nacional, destacando su experiencia en modelos de carsharing y carpooling dado que podrían ser una buena alternativa para mejorar las condiciones de movilidad en diferentes ciudades del país","Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Meacham, Carl",Uber B.V.
"Chahuán Chahuán, Francisco",2016-09-06,40,Sala de Ministros Congreso Nacional de Valparaíso,"Problemáticas  con Serviu regional, referente a Comités de Vivienda Miraflores Alto de Viña del Mar y los Ciruelos dos de Viña del Mar.","Jara Aninat, Manuel Fernando",Constructora Valle Mar
"Muñoz D`Albora, Adriana",2016-09-06,45,Senado,"Cosmetologas y estilistas que en su amplia mayoría representan mujeres dueñas de hogar, actualmente están enfrentando un grave problem a su oificio que si no se soluciona se llegara al fin de la profesión, piden reformar el decreto que los rige hace 40 años","Duran Rodas, Rosa; Molina Naranjo, Victor; Mejias Taylor, Leidy; Abascal Braniff, Jorge; Fajardo Cabrera, Karen; Bernal Bernal, Patricia; Ramirez Olivares, Pedro",Leidy Mejias Thaylor
"Harboe Bascuñán, Felipe",2016-09-06,30,Senado ValparaÃ­so,"Dar a conocer los servicios que entrega UBER, destacando su experiencia en modelos de carsharing y carpooling dado que podrían ser una buena alternativa para la movilidad en diferentes ciudades del país. Se agendó para el día Martes 6 de septiembre a las 12:30 horas.","Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Meacham, Carl",Uber B.V.
"Lagos Weber, Ricardo",2016-09-06,30,Senado,Exponen su posición sobre boletín 10511-07,"Uribe Hernandez, Claudio; Leiva Peña, Marcelo; Muñoz, Paolo; Muñoz Becker, Teresa; Pino, Jaime; Navarro Zamora, Ernesto; Fuentes Mardones, Jose; Steinert Herrera, Trinidad",
"Pérez Varela, Víctor",2016-09-06,40,Oficina Parlamentaria Senado,Información sobre sistema de transporte UBER y cómo funciona,"Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Meacham, Carl",Uber B.V.
"Guillier Álvarez, Alejandro",2016-09-05,30,Ex Congreso Nacional,"DAR A CONOCER LA FUNDACIÓN INTEGRAL DE LA FAMILIA (FIDEF) Y SOLICITAR SU INCLUSIÓN EN ASUNTOS AFINES A FAMILIA Y ADULTO MAYOR INCLUSIÓN DE FIDEF EN MATERIAS DE PROTECCIÓN DE NIÑOS NIÑAS Y ADOLESCENTES, ADULTO MAYOR Y DISCAPACITADOS EN ASUNTOS LEGISLATIVOS Y DE PRESUPUESTO.
RECIBE AGENTE PASIVO.
FUNDACIÓN OTORGA A LOS NIÑOS, NIÑAS, ADOLESCENTES, MUJERES, HOMBRES, ADULTOS MAYORES, PERSONAS CON DISCAPACIDAD Y SUS FAMILIAS, EN SITUACIÓN DE RIESGO SOCIAL, DE MAYOR VULNERABILIDAD Y CLASE MEDIA UN REAL ACCESO A LA JUSTICIA CUANDO NO CUENTEN CON LOS RECURSOS NECESARIOS PARA ACCEDER A ASESORIA SOCIAL, PSICOLOGICA Y JURIDICA A FIN DE SALVAGUARDAR SUS DERECHOS E INTERESES ANTE LOS TRIBUNALES DE JUSTICIA DEL PAÍS.","CORTES HECHERDORSF, JUAN PABLO; TERROBA AGUIRRE, JAVIERA; FRANCO ZUÑIGA, MARIA LORETO",FUNDACION INTEGRAL DE LA FAMILIA
"Guillier Álvarez, Alejandro",2016-09-05,30,Ex Congreso Nacional,"FUNDACIÓN OTORGA A LOS NIÑOS, NIÑAS, ADOLESCENTES, MUJERES, HOMBRES, ADULTOS MAYORES, PERSONAS CON DISCAPACIDAD Y SUS FAMILIAS, EN SITUACIÓN DE RIESGO SOCIAL, DE MAYOR VULNERABILIDAD Y CLASE MEDIA UN REAL ACCESO A LA JUSTICIA CUANDO NO CUENTEN CON LOS RECURSOS NECESARIOS PARA ACCEDER A ASESORIA SOCIAL, PSICOLOGICA Y JURIDICA A FIN DE SALVAGUARDAR SUS DERECHOS E INTERESES ANTE LOS TRIBUNALES DE JUSTICIA DEL PAÍS.","CORTES HECHERDORSF, JUAN PABLO; FRANCO ZUÑIGA, MARIA LORETO; TERROBA AGUIRRE, JAVIERA",FUNDACION INTEGRAL DE LA FAMILIA
"Guillier Álvarez, Alejandro",2016-09-05,30,Ex Congreso Nacional,"A petición exclusiva de Corporación Miles, vía correo electrónico, se suspende la reunión ya que se habrían reunido recientemente con el Senador y su asesora legislativa.
No se realiza esta audiencia.","Saa Díaz, María Antonieta; Galan, Guillermo; Castro Santoro, Rene; Sepulveda, Elena; Zuñiga, Alejandra; Dides Castillo, Claudia Paz Olalla",Corporación Miles
"Pizarro Soto, Jorge",2016-09-05,30,MORANDÉ 441,no se presentaron a audiencia,"sandoval navarro, walter jaime",siomma
"Guillier Álvarez, Alejandro",2016-09-05,30,Ex Congreso Nacional,Análisis a la discusión legislativa de iniciativas que modificarán el marco en que se desarrollan los institutos profesionales y centros de formación técnica acreditados,"Noda Videa, Patricia; Vargas Otte, Gonzalo","Consejo de Rectores de Institutos Profesionales y Centros de Formación Técnica Acreditados, Vertebral"
"Harboe Bascuñán, Felipe",2016-09-05,30,Senado Santiago. Morandé 441,"Entrega de argumentos de Salud y Derechos Humanos para la discusión del Proyecto sobre interrupción voluntaria del embarazo por tres causales. Lunes 5 de septiembre a las 11:00 horas, Senado Santiago","Dides Castillo, Claudia Paz Olalla; Saa Díaz, María Antonieta",Corporación Miles
"Walker Prieto, Patricio",2016-09-02,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Dar a conocer la Junta de Vecinos e inquietudes de los vecinos.,"Montecinos Césped, Luis",Junta de Vecinos N° 17 Ensenada Valle Simpson
"Walker Prieto, Patricio",2016-09-02,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Dar a conocer la Junta de Vecinos e inquietudes de los vecinos.,"Vargas Tolosa, Carlos; Velásquez Arias, Patricia; Montecinos Césped, Luis",Junta de Vecinos N° 17 Ensenada Valle Simpson
"Walker Prieto, Patricio",2016-09-02,20,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Dar a conocer la Junta de Vecinos e inquietudes de los vecinos.,"Vargas Tolosa, Carlos; Velásquez Arias, Patricia; Montecinos Césped, Luis",Junta de Vecinos N° 17 Ensenada Valle Simpson
"Guillier Álvarez, Alejandro",2016-09-02,30,Calama,"Junto con saludar, por la presente solicitamos tenga a bien recibirnos con el fin de darle a conocer nuestra empresa, y la reciente y significativa inversión que hemos desarrollado para mejorar nuestra capacidad de reciclaje de residuos peligrosos de manera ambientalmente racional, poniéndonos a la vanguardia en América Latina, en conformidad a los avances legislativos del país. Quisiéramos explicarle de qué manera esta inversión se está viendo amenazada gravemente por un posible e inminente cambio regulatorio que en nuestra opinión, contradice la coherencia de las políticas públicas, los compromisos internacionales del país y las condiciones en conformidad a las cuales hemos innovado e invertido consistentemente en los últimos 15 años en un negocio en que nuestros intereses corporativos están directamente alineados no sólo con la productividad sino con el cuidado del medio ambiente, ya que reciclamos residuos peligrosos de manera segura.","carracedo, antonio; Fanta Rojas, Federico",Recicladora Ambiental Ltda
"Harboe Bascuñán, Felipe",2016-09-01,30,Senado Santiago. Morandé 441,"Proyecto que moderniza la legislación aduanera. 01 de septiembre a las 10:30 horas, Senado Santiago","León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Vio Zahr, Jorge Sebastián; Achurra Zúñiga, María Paulina",Cámara Aduanera de Chile A.G.
"Ossandón Irarrázabal, Manuel José",2016-09-01,60,Oficina Senador Ex Congreso - Morandé 441,"Exposición relacionada con el proyecto que tipifica el acoso sexual callejero. La recibieron los Asesores del Senador Sres. Jara y Huerta
Boletinn N° 9936-07","Prieto Ahumada, Javiera",Fundación contra el acoso callejero
"Ossandón Irarrázabal, Manuel José",2016-08-31,45,Oficina Parlamentaria Senado ValparaÃ­so,Proyecto de Ley que moderniza la legislación aduanera.,"León Santibáñez, Javier; HERRERA RIVERA, CRISTIAN ERASMO",Cámara Aduanera de Chile A.G.
"Ossandón Irarrázabal, Manuel José",2016-08-31,60,Oficina Senador Ex Congreso - Morandé 441,Presentan sus inquietudes sobre Proyecto de Televisión Nacional de Chile.,"Gándara Godoy, Sergio",Asociación Gremial
"Guillier Álvarez, Alejandro",2016-08-30,30,Congreso Nacional,"Conversar sobre Boletín 10511-07 despacha desde Cámara de Diputados.
Recibe agente pasivo.","Steinert Herrera, Trinidad; Fuentes Mardones, Jose; Uribe Hernandez, Claudio; Leiva Peña, Marcelo; Muñoz Becker, Teresa; Muñoz, Paolo; Navarro Zamora, Ernesto; Pino, Jaime",
"Tuma Zedán, Eugenio",2016-08-30,45,Oficina Senador,MODIFICA LA LEYES 19.496 Y 19.628 PARA REGULAR LA PROTECCIÓN DE LA VIDA PRIVADA EN LO RELATIVO AL ENVÍO DE PUBLICIDAD (BOLETÍN Nº10.133-03),"Ortiz Tello, Raul Claudio",COMITE RETAIL FINANCIERO DE LA CAMARA DE COMERCIO DE SANTIAGO
"Coloma Correa, Juan Antonio",2016-08-30,30,"Oficina Senado Valparaíso, piso 11","Dar a conocer los servicios que entrega Uber a nivel internacional y nacional, destacando su experiencia en modelos de carsharing y carpooling dado que podrían ser una buena alternativa para mejorar las condiciones de movilidad en diferentes ciudades del país.","Del Solar Agüero, Felipe; Barrueto Avalos, Felipe; Meacham, Carl",Uber B.V.
"Espina Otero, Alberto",2016-08-30,40,Senado,Información y exposición sobre Protección de los Derechos de los Consumidores (Boletín N° 9.369-03).,"Ortiz Tello, Raul Claudio; Fuenzalida, Patricio",COMITE RETAIL FINANCIERO DE LA CAMARA DE COMERCIO DE SANTIAGO
"Coloma Correa, Juan Antonio",2016-08-29,15,"Oficina Senado Santiago, piso 2",BONO DE RETIRO,"Palacios Riquelme, Andrea",Asociación Nacional de Funcionarios de la Contraloría General
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,"Presentación del estudio realizado por la Cámara Chilena de la Construcción, sede Copiapó, \""Copiapó 2050\""","Reyes Perez, Guillermo; Pardo Kallens, Antonio",Cámara Chilena de la Construcción
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,Educación especial e inclusión. Recibe agente pasivo.,"Mardones, Alicia Johanna",Alicia Mardones Cando
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,"Educación Especial 2do intento Ley de Inclusión, Mesa Técnica Educación Especial, Asesores de la presidenta para inclusión de personas en situación de discapacidad. CIERRE ESCUELAS ESPECIALES","Mardones, Alicia Johanna",Alicia Mardones Cando
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,"Seguridad aérea en el aeropuerto de Antofagasta. Modernización del servicio.
Recibe agente pasivo.","Ortiz Rocha, Luis Ricardo; Hernandez Maulén, Victor",Asociacion de Trabajadores Fiscalizadores y Operativos de la DGAC
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,"Proyecto de Reforma Constitucional sobre Dominio y Uso de las Aguas (Artículo 19, nº23). Recibe agente pasivo.","Peralta, Fernando; Matta, Santiago",Confederacion de Canalistas de Chile
"Ossandón Irarrázabal, Manuel José",2016-08-29,45,Oficina Senador Ex Congreso - Morandé 441,Dar a conocer al Senador Ossandon la posición de nuestra compañía con respecto al desarrollo digital.,"Gutierrez , Eduardo; OBrien, Manuel",IBM de Chile SAC
"Guillier Álvarez, Alejandro",2016-08-29,30,Ex Congreso Nacional,Participación ciudadana en las transiciones políticas y públicas. Recibe agente pasivo.,"Balcells Daniels, Fernando Guitaro",Fernando Guitaro Balcells Daniels
"Pizarro Soto, Jorge",2016-08-29,30,MORANDÉ 441,"Se entregan antecedentes en relación al proyecto en discusión por interrupción de embarazo en 3 causales.
La Corporación Miles tiene como misión generar conocimientos, políticas públicas, cambios legislativos y articulación de redes para promover los derechos sexuales y reproductivos en el país en el marco de los DDHH orientados a reconocer sexualidad como derecho.","Dides Castillo, Claudia Paz Olalla; Saa Díaz, María Antonieta; Castro Santoro, Rene; Sepulveda, Elena; Galan, Guillermo; Zuñiga, Alejandra",Corporación Miles
"Moreira Barros, Iván",2016-08-29,30,ex congreso nacional,impuestos verdes que afectan a la industria de alimentos por calderas.,"González Galdames, Guillermo; Descourvières G., Carlos; Mira V., Juan Manuel",Chilealimentos A.G.
"Moreira Barros, Iván",2016-08-29,30,ex congreso nacional,impuestos verdes para los generadores de energía.,"González Galdames, Guillermo; Descourvières G., Carlos; Mira V., Juan Manuel",Chilealimentos A.G.
"Pizarro Soto, Jorge",2016-08-29,30,MORANDÉ 441,"Proyecto de Modificación Aduanera que se encuentra en Comisión de Hacienda del Senado.
Se presentan diversas inquietudes al respecto de como se ha trabajado el proyecto.","León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Vio Zahr, Jorge Sebastián; Achurra Zúñiga, María Paulina",Cámara Aduanera de Chile A.G.
"Girardi Lavín, Guido",2016-08-25,40,Ex Congreso Nacional Morandé #441,"Se desarrolla la reunión conforme a la solicitud planteada, con el objeto de entregar fundamentos y argumentos tanto jurídicos como de realidad práctica, para efectos de apoyar el proyecto de ley de aborto en tres causales","Dides Castillo, Claudia Paz Olalla; Castro Santoro, Rene; Sepulveda, Elena",Corporación Miles
"Girardi Lavín, Guido",2016-08-25,30,Ex Congreso Nacional Morandé # 441,"Se entrega información respecto de alcance y contenido del acuerdo transpacífico, la posición que ha adoptado Chile frente al mismo. A su vez se entregó información respecto alcance de éste en relación al ámbito de la salud.","Lagomarsino, Tomas; Muñoz Gómez, Paula",Plataforma Chile Mejor Sin TPP
"Montes Cisternas, Carlos",2016-08-25,30,Ex Congreso,Se escucha la opinión de los canalistas referida a la reforma constitucional y proyecto de modificación del Código de Aguas.,"Peralta, Fernando; Matta, Santiago",Confederacion de Canalistas de Chile
"Walker Prieto, Patricio",2016-08-25,0,Oficina Parlamentaria - Ignacio Serrano 509 - Coyhaique,Informa participación en Festival Internacional de Cine de Viña del Mar,"ESPINOZA TORDECILLA, JUAN PABLO",JUAN PABLO ESPINOZA TORDECILLA
"Muñoz D`Albora, Adriana",2016-08-25,60,oficina parlamentaria,Incentivo al retiro para funcionarios del Poder Judicial,"Alvarez Moraleda, Ricardo Enrique",Asociación Nacional de Empleados del Poder Judicial
"Arancibia Santibáñez, Cristian",2016-08-23,30,"Senado Santiago. Ex Congreso, Morande 441",Plantear tema institucional en Gendarmeria.,"ORTEGA GONZALEZ, MYRIAM DEL CARMEN; GAMBOA CONTRERAS, EDUARDO",MYRIAM DEL CARMEN ORTEGA GONZALEZ
"Arancibia Santibáñez, Cristian",2016-08-23,40,"Senado Santiago.  Ex Congreso, Morande 441",Asuntos gremiales relacionados al Colegio de Matronas.,"Garcés Illanes, Carmen Gloria; CORDOVA MONGILI, LINA",Colegio de Matronas A.G.
"Arancibia Santibáñez, Cristian",2016-08-23,45,"Senado Santiago. Ex Congreso, Morande 441",Tratar sobre asuntos gremiales.,"HENRIQUEZ, NANCY; MONTENEGRO, SEBASTIAN; PONCE, MONICA",ASOCIACION DE FUNCIONARIOS CNTV
"Coloma Correa, Juan Antonio",2016-08-23,20,"Oficina Talca, 1 Oriente 755","Presentación de Proyecto de Incentivo al Retiro de los Empelados del Poder Judicial, solicitud de asignación de zona para Constitución, Licantén y Petorca, carrera funcionaria, mejoramiento económico, para el Poder Judicial.","vistoso espinoza, luis antonio; Morales Ceballos, Leda",Asociación Nacional de Empleados del Poder Judicial
"Pizarro Soto, Jorge",2016-08-23,30,PEDRO PABLO MUÑOZ 861 DPTO 87,Se presenta requerimiento que están desarrollando por propuesta de incentivo al retiro,"Alvarez Moraleda, Ricardo Enrique",Asociación Nacional de Empleados del Poder Judicial
"Lagos Weber, Ricardo",2016-08-22,30,Ex Congreso Nacional,Legislación en cuanto a la protección de la infancia,"Kyung Jun, Hai",UNICEF Chile
"Pizarro Soto, Jorge",2016-08-22,30,MORANDÉ 441,Presentar composición de Confederación y manifestar puntos de vista en relación a informe emitido por Comisión de Recursos Hídricos del senado.,"Peralta, Fernando; Matta, Santiago",Confederacion de Canalistas de Chile
"Harboe Bascuñán, Felipe",2016-08-22,30,Senado Santiago. MorandÃ© 441,"Preocupación por el robo de madera desde predio particular, en la zona de Antiquina, Comuna de Cañete. Lunes 22 de agosto a las 10:30 horas, Senado Santiago.","QUEZADA JARA, LEOPOLDO HORACIO",LEOPOLDO HORACIO QUEZADA JARA
"Harboe Bascuñán, Felipe",2016-08-22,30,Senado Santiago. Morandé 441,"Presentación de las problemáticas en la aplicación de la Ley Emilia y sus tres causales. Lunes 22 de agosto a las 10:30 horas, Senado Santiago","Silva, Benjamin",FUNDACION EMILIA
"Montes Cisternas, Carlos",2016-08-19,30,Ex Congreso,"Se recoge inquietud del sindicato. Aparentemente, no es una materia sujeta a la ley de lobby.","Lagunas León, Germán Santiago; Rosso Zamora, Santiago Pedro; Heufemann Adriazola, Luis Jaime",Sindicato de Trabajadores de la Empresa La Araucana C.C.A.F.
"Montes Cisternas, Carlos",2016-08-19,30,Ex Congreso,"Se reciben antecedentes respecto de materias de interés para los trabajadores, vinculados a la concentración en el mercado.","Placencia, Juan",Sindicato suplementeros de la florida
"Girardi Lavín, Guido",2016-08-18,40,"Ex Congreso Nacional, Morandé # 441","Se recibieron las observaciones y argumentos para apoyar el Boletín N° 10511-07 que reconoce los derechos gremiales al Ministerio Público, haciéndola aplicable en relación, al fuero, a los días y a respecto a la calificación para suspensión.","Fuentes Mardones, Jose; Steinert Herrera, Trinidad",
"Harboe Bascuñán, Felipe",2016-08-18,30,Senado Santiago. MorandÃ© 441,"Presentación de filtro diseñado para eliminar material particulado de estufas, hornos o cocinas que utilicen bio masa como material combustible. Jueves 13 de agosto de 2016. Oficina de Los Ángeles","Oliver Ampuero, Larry Sidney; BURGOS MENDOZA, OSCAR ALEJANDRO",OLIVER Y BURGOS SA
"Espina Otero, Alberto",2016-08-17,30,Senado,Exposición de aplicación SoSafe para telefonía móvil.,"Fernández Rosati, Carlos Andrés",SOSAFE S.A.
"Chahuán Chahuán, Francisco",2016-08-17,20,OFICINA SENADOR CONGRESO VALPARAISO,Proyecto de ley que Moderniza la legislación Aduanera.,"León Santibáñez, Javier; Werner Méndez, Kenneth; ESPEJO VIDAL, RAMON SOLANO; HERRERA RIVERA, CRISTIAN ERASMO; Stephens Sotomayor, Juan Sebastián; Vio Zahr, Jorge Sebastián; Achurra Zúñiga, María Paulina",Cámara Aduanera de Chile A.G.
"Bianchi Chelech, Carlos",2016-08-17,75,oficina Senador Bianchi,información actual de la operación de Methanex,"VUKASOVIC JADRIEVIC, BORIS MIGUEL; LABARCA COOPMAN, ALEJANDRO",Boris Vukasovic Jadrievic
"Muñoz D`Albora, Adriana",2016-08-17,60,Senado,"Oficio enviado por el director nacional del trabajo Ala sra ministra del trabajo y previcion social en elcual,se solicita la modificasion legaldel articulo 116 del codigo del trabajo que regula el descanso diario de la gente de mar","sandoval navarro, walter jaime",siomma
"Chahuán Chahuán, Francisco",2016-08-16,30,OFICINA SENADOR CONGRESO VALPARAISO,boletín 10752-11 referente negociación sector salud. Fijación de las plantas profesional del personal de los Servicios de salud.,"lira ramos, enelia; Torres Sandoval, Jacqueline; Gonzalez Araya, Marcelina; medina, magaly; olivares, sandra",Marcelina Gonzalez Ayala
"Espina Otero, Alberto",2016-08-16,30,Senado,Fundación Emilia y ley Emilia (20.770),"Silva, Benjamin; villarroel merino, betsy daniela",Benjamin Silva T.
"Quinteros Lara, Rabindranath",2016-08-16,20,OFICINA SENADO PISO 12,tratar temas que atañen a su Asociación,"Salazar Bastidas, Sebastian; Curihual Huircan, Jaime; Hadad A, Alberto; Leiva, Francisco; Zalaquett, Pablo; tudela, carlos","FIDEN AG, ASOCIACION GREMIAL DE OPERADORES, FABRICANTES E IMPORTADORES DE ENTRETENIMIENTOS ELECTRONICOS"
"Moreira Barros, Iván",2016-08-16,30,"congreso nacional, senado",regulación de maquinas de juegos,"Zalaquett, Pablo; Salazar Bastidas, Sebastian; Leiva, Francisco; Hadad A, Alberto","Asociacion Gremial de Operadores, Fabricantes e importadores de Entretenimientos Electronicos."
"Tuma Zedán, Eugenio",2016-08-16,45,Oficina Senador piso 13,"Proceso de descentralización de las entidades de fomento, que afecta CORFO y SERCOTEC.","Nesbet Montecinos, Felipe Andres; Cea Oyarzo, Francisco; Morales Rozas, Alejandro",Asoc. Empleados CORFO
"Guillier Álvarez, Alejandro",2016-08-15,30,Ex Congreso Nacional,"Boletín Nº S 1.813-12 del 22 de junio de 2015, Proyecto de acuerdo del senado para la elaboración de una Política Pública para la Aviación General sin fines de lucro","Arellano Venegas, Marcos; Schneider Ponce, Pablo; SANTAMARIA KOCH, ROBERTO; Squella Espina, Oscar Eduardo",Federación Aerea de Chile
"Montes Cisternas, Carlos",2016-08-12,40,Ex Congreso,Se recibe información respecto de la situación de las trabajadoras de los jardines infantiles administrados Vía Transferencia de Fondos.,"Molina, Leontina",Federación Nacional de Trabajadores de la Educación Inicial
"Harboe Bascuñán, Felipe",2016-08-12,30,Senado Santiago. Morandé 441,Presentación de cuales son los ejes o materias principales que debe abordar el proyecto SERNAC. Viernes 12 de agosto a las 10:30 horas,"LEBUY MARTINEZ, JERARDO; LAULIÉ ÁVALOS, PAUL DAVID GERARD; BUSTAMANTE VERA, FRANCISCO JAVIER",Asociación de Funcionarios del Sernac
"García Ruminot, José",2016-08-11,30,"Oficina Senador, Senado Santiago, Morandé 441, Santiago",Sobre el proyecto de ley que tipifica el acoso sexual callejero (boletín 9936-07),"Prieto Ahumada, Javiera; Valenzuela Tapia, María Francisca; Sepúlveda Hales, Bárbara",Fundación contra el acoso callejero
"Pizarro Soto, Jorge",2016-08-11,30,MorandÃ© 441,"En el marco de la presentación de la Fundación se están reuniendo con distintas autoridades.
Se presentó objetivo y misión de la Fundación y metodología de trabajo","Varela, Gonzalo; De Ferari, José María",Fundación Soñadores
"Horvath Kiss, Antonio",2016-08-10,45,Senado - Valparaíso,Encuentro Ciudades Creativas Kreanta,"KELLER, FRANCISCA ; Flores, Cagley; Herrera, Catalina",Cagley Flores
"Chahuán Chahuán, Francisco",2016-08-10,25,OFICINA SENADOR CONGRESO VALPARAISO,"Presentación en Contraloría, por grado tope.","Clavijo Soto, Nathalie Elizabeth; Gonzalez Araya, Marcelina; Delgadillo Mrtinez, Raul; MARCOLETA SANDOVAL, CLAUDIA; NAVARRO NAVARRETE, XIMENA; ZUÑIGA ALTAMIRANO, CECILIA SANDRA",Frente de Salud de Trabajadores Servicio de Salud Valparaiso San Antonio
"Guillier Álvarez, Alejandro",2016-08-10,30,Congreso Nacional,Boletin 9936-07 sobre PL que tipifica acoso sexual,"Prieto Ahumada, Javiera; Valenzuela Tapia, María Francisca; Sepúlveda Hales, Bárbara",Fundación contra el acoso callejero
"Coloma Correa, Juan Antonio",2016-08-10,15,"Oficina Senado Valparaíso, piso 11",presentar la dimensión y alcance del evento al cual fue invitado por parte de la Embajada Mundial de Activistas por la Paz,"VILLEGAS, JOSÉ MANUEL; PEREZ, OSCAR MANUEL",JOSE MANUEL VILLEGAS
"Coloma Correa, Juan Antonio",2016-08-10,15,"Oficina Senado Valparaíso, piso 11",Reglamento Ley de los Impuestos Verdes,"González Galdames, Guillermo; Descourvières G., Carlos",Chilealimentos A.G.
"Horvath Kiss, Antonio",2016-08-10,30,Senado - Valparaíso,"Dirigentes de los Trabajadores de la Empresa SUBUS, manifestaron inquietud por crisis del Transantiago y plantearon además, la necesidad de buscar una solución","PEREIRA MENDEZ, ESTEBAN; FARIÑA ZUÑIGA, SERGIO",Confederación Nacional Unitaria de Trabajadores del Transporte CONNTT
"Bianchi Chelech, Carlos",2016-08-10,60,oficina Asesor Legislativo senador Bianchi,"Proyecto de Ley sobre despenalización del aborto por tres causales boletin 9895 
plantear puntos de vista Amnistía Internacional y Corporación Humanas en relación al avance de la discusión.","Piquer Romo, Ana Amancay; Maturana, Camila",Corporación apoyo a Amnistía Internacional
"Pérez Varela, Víctor",2016-08-10,40,Oficina Parlamentaria Senado,Proyecto de ley sobre acoso sexual callejero,"Prieto Ahumada, Javiera; Valenzuela Tapia, María Francisca; Sepúlveda Hales, Bárbara",Fundación contra el acoso callejero
"Espina Otero, Alberto",2016-08-09,60,Senado,Proyecto de Ley; Reforma el código de Aguas (boletín 7543-12),"Peralta, Fernando; Matta, Santiago",Confederacion de Canalistas de Chile
"Guillier Álvarez, Alejandro",2016-08-09,30,Congreso Nacional,Exonerados de Piñera,"Burgos, Adriana; Araya Quiroga, Alexandra",Adriana Burgos Acuña
"Ossandón Irarrázabal, Manuel José",2016-08-09,30,Oficina Parlamentaria Senado Valparaíso,LOS INTERESADOS NO SE PRESENTARON A LA AUDIENCIA.,"Catalán Reyes, Manuel; Brito Roco, Graciela",Sociedad Civil Chilena Organizada
